authorDisplayName,publishedAt,likeCount,textOriginal,textPreprocess
@alinateodora7769,2023-07-06T18:21:37Z,1,"Lara larala
Uoh, High Music High Flow
Ozuna
Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita, con delicadeza
Me pone loco de la cabeza
Me dice que quiere seguir
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza
Síguelo bailando, que la música no pare (Eh eh eh)
Cómo a mí me gusta que la noche no se acabe (Eh eh eh)
Síguelo bailando, que la música no pare
Cómo a ti te gusta que la noche no se acabe (Eh eh eh)
Ay, mami, sacude ta' por encima
Bailando me acelera la adrenalina
Una máquina de baile, siempre domina
No paramos, nunca soltamos pegadito' en una esquina
Aunque tú tengas tu aceite yo tengo el mío, hay un lío
Ya la música tiene poderío
Esto se baila en Brasil, Venezuela y los judíos
Argentina y en Colombia, P.R, el caserío con los míos
Síguelo bailando, que la música no pare (Eh eh eh)
Cómo a mí me gusta que la noche no se acabe (Eh eh eh)
Síguelo bailando, que la música no pare (Ehh)
Cómo a ti te gusta que la noche no se acabe (Eh eh eh)
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza
Con este ritmo se descontrola
Se pone loquita y se me entrega to'a
Se pega de espalda y se acomoda sola
Pa' bailar no pone excusa, no le importa la hora y a la moda
Cuando sale va retumbando
Yo no sé qué tiene que se le quedan mirando
Anda quemando, por el mundo viajando
No tiene problema si lo resuelve bailando, mami
Síguelo bailando, que la música no pare
Cómo a mí me gusta que la noche no se acabe
Síguelo bailando, que la música no pare
Cómo a ti te gusta que la noche no se acabe
Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita, con delicadeza
Me pone loco de la cabeza
Me dice que quiere seguir
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza
Ozuna
El negrito ojos claros
Yaitoli, yaitoli
High Music High Flow
High Music High Flow
Mami, mami, ingeniero
El negrito ojos claros
Traduci in italiano","Lara larala
Uoh, High Music High Flow
Ozuna
Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita, con delicadeza
Me pone loco de la cabeza
Me dice que quiere seguir
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza
Síguelo bailando, que la música no pare (Eh eh eh)
Cómo a mí me gusta que la noche no se acabe (Eh eh eh)
Síguelo bailando, que la música no pare
Cómo a ti te gusta que la noche no se acabe (Eh eh eh)
Ay, mami, sacude ta' por encima
Bailando me acelera la adrenalina
Una máquina de baile, siempre domina
No paramos, nunca soltamos pegadito' en una esquina
Aunque tú tengas tu aceite yo tengo el mío, hay un lío
Ya la música tiene poderío
Esto se baila en Brasil, Venezuela y los judíos
Argentina y en Colombia, P.R, el caserío con los míos
Síguelo bailando, que la música no pare (Eh eh eh)
Cómo a mí me gusta que la noche no se acabe (Eh eh eh)
Síguelo bailando, que la música no pare (Ehh)
Cómo a ti te gusta que la noche no se acabe (Eh eh eh)
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza
Con este ritmo se descontrola
Se pone loquita y se me entrega to'a
Se pega de espalda y se acomoda sola
Pa' bailar no pone excusa, no le importa la hora y a la moda
Cuando sale va retumbando
Yo no sé qué tiene que se le quedan mirando
Anda quemando, por el mundo viajando
No tiene problema si lo resuelve bailando, mami
Síguelo bailando, que la música no pare
Cómo a mí me gusta que la noche no se acabe
Síguelo bailando, que la música no pare
Cómo a ti te gusta que la noche no se acabe
Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita, con delicadeza
Me pone loco de la cabeza
Me dice que quiere seguir
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'
Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza
Ozuna
El negrito ojos claros
Yaitoli, yaitoli
High Music High Flow
High Music High Flow
Mami, mami, ingeniero
El negrito ojos claros
Traduci in italiano"
@juaneliascoroxon8510,2023-07-06T02:40:32Z,1,Mi favorito ❤️‍🩹🇬🇹,Mi favorito ‍ emoji tirita emoji  emoji bandera guatemala emoji
@gilbertomendoza373,2023-07-05T21:35:08Z,0,@ozuna necesito remix con anuel,@usuario necesito remix con anuel
@Coronadopaula,2023-07-05T15:34:26Z,1,"LETRA: 
Lara larala
Uoh, High Music High Flow
Ozuna

Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita, con delicadeza
Me pone loco de la cabeza
Me dice que quiere seguir

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza

Síguelo bailando, que la música no pare (Eh eh eh)
Cómo a mí me gusta que la noche no se acabe (Eh eh eh)
Síguelo bailando, que la música no pare
Cómo a ti te gusta que la noche no se acabe (Eh eh eh)

Ay, mami, sacude ta' por encima
Bailando me acelera la adrenalina
Una máquina de baile, siempre domina
No paramos, nunca soltamos pegadito' en una esquina

Aunque tú tengas tu aceite yo tengo el mío, hay un lío
Ya la música tiene poderío
Esto se baila en Brasil, Venezuela y los judíos
Argentina y en Colombia, P.R, el caserío con los míos

Síguelo bailando, que la música no pare (Eh eh eh)
Cómo a mí me gusta que la noche no se acabe (Eh eh eh)
Síguelo bailando, que la música no pare (Ehh)
Cómo a ti te gusta que la noche no se acabe (Eh eh eh)

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza

Con este ritmo se descontrola
Se pone loquita y se me entrega to'a
Se pega de espalda y se acomoda sola
Pa' bailar no pone excusa, no le importa la hora y a la moda

Cuando sale va retumbando
Yo no sé qué tiene que se le quedan mirando
Anda quemando, por el mundo viajando
No tiene problema si lo resuelve bailando, mami

Síguelo bailando, que la música no pare
Cómo a mí me gusta que la noche no se acabe
Síguelo bailando, que la música no pare
Cómo a ti te gusta que la noche no se acabe

Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita, con delicadeza
Me pone loco de la cabeza
Me dice que quiere seguir

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza

Ozuna
El negrito ojos claros
Yaitoli, yaitoli
High Music High Flow
High Music High Flow
Mami, mami, ingeniero
El negrito ojos claros","LETRA: 
Lara larala
Uoh, High Music High Flow
Ozuna

Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita, con delicadeza
Me pone loco de la cabeza
Me dice que quiere seguir

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza

Síguelo bailando, que la música no pare (Eh eh eh)
Cómo a mí me gusta que la noche no se acabe (Eh eh eh)
Síguelo bailando, que la música no pare
Cómo a ti te gusta que la noche no se acabe (Eh eh eh)

Ay, mami, sacude ta' por encima
Bailando me acelera la adrenalina
Una máquina de baile, siempre domina
No paramos, nunca soltamos pegadito' en una esquina

Aunque tú tengas tu aceite yo tengo el mío, hay un lío
Ya la música tiene poderío
Esto se baila en Brasil, Venezuela y los judíos
Argentina y en Colombia, P.R, el caserío con los míos

Síguelo bailando, que la música no pare (Eh eh eh)
Cómo a mí me gusta que la noche no se acabe (Eh eh eh)
Síguelo bailando, que la música no pare (Ehh)
Cómo a ti te gusta que la noche no se acabe (Eh eh eh)

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza

Con este ritmo se descontrola
Se pone loquita y se me entrega to'a
Se pega de espalda y se acomoda sola
Pa' bailar no pone excusa, no le importa la hora y a la moda

Cuando sale va retumbando
Yo no sé qué tiene que se le quedan mirando
Anda quemando, por el mundo viajando
No tiene problema si lo resuelve bailando, mami

Síguelo bailando, que la música no pare
Cómo a mí me gusta que la noche no se acabe
Síguelo bailando, que la música no pare
Cómo a ti te gusta que la noche no se acabe

Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita, con delicadeza
Me pone loco de la cabeza
Me dice que quiere seguir

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Una belleza, ma'

Baila conmigo, mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa'
Bailando, una belleza

Ozuna
El negrito ojos claros
Yaitoli, yaitoli
High Music High Flow
High Music High Flow
Mami, mami, ingeniero
El negrito ojos claros"
@yefribravo556,2023-07-05T14:40:18Z,0,"Wara que Recuerdos esos años. Del 2018 
Hoy 5 de julio 2023 😢😢😢 Me trae recuerdo jsjsjs este temazo","Wara que Recuerdos esos años. Del 2018 
Hoy 5 de julio 2023  emoji cara llorando emoji  emoji cara llorando emoji  emoji cara llorando emoji  Me trae recuerdo jsjsjs este temazo"
@XxenriquehanccoxX,2023-07-05T13:38:33Z,1,Grande kounde! 💪💙❤️💙,Grande kounde!  emoji bíceps flexionado emoji  emoji corazón azul emoji  emoji corazón azul emoji
@orenmoreno,2023-07-05T12:59:26Z,2,"Soy yo o esto lo escuchábamos en nuestra mejor época de nuestra vida, cuando nada nos preocupaba y todo el rato estábamos felices.","Soy yo o esto lo escuchábamos en nuestra mejor época de nuestra vida, cuando nada nos preocupaba y todo el rato estábamos felices."
@danielasuarez8990,2023-07-04T15:39:07Z,1,El oso de ozuna se agraba en letral de sigelo bailando y ahora está con la canción que se escucha con ozuna,El oso de ozuna se agraba en letral de sigelo bailando y ahora está con la canción que se escucha con ozuna
@blacktodragon5603,2023-07-04T06:34:26Z,0,Shallot bailando para que sea lf,Shallot bailando para que sea lf
@CarlosJose-jb4fg,2023-07-03T21:15:23Z,3,Quien regreso por la velada del año bueeaaaa,Quien regreso por la velada del año bueeaaa
