,authorDisplayName,publishedAt,likeCount,textOriginal,textPreprocess
171,@joseangelsalas9650,2024-02-07T15:19:30Z,63,Kim Richards le da un brillo especial a esa hermosa canción! 😃😊,kim richards da brillo especial hermosa canción emoji cara sonriendo ojos grandes emoji emoji cara feliz ojos sonrientes emoji
172,@katherineaguirre2866,2024-02-07T15:18:54Z,1,Que hermosa semana con esta canción 😭❤,hermosa semana canción emoji cara llorando fuerte emoji
173,@hugodeleon7409,2024-02-07T15:18:19Z,80,"Si estás leyendo esto, el Dios que estuvo contigo ayer, estará contigo hoy y seguirá estando contigo mañana y por siempre.",si leyendo dios contigo ayer contigo hoy seguirá contigo mañana siempre
174,@ezequieljuanoficial2911,2024-02-07T15:16:46Z,2,Un éxito musical completo 🎉Bendiciones,éxito musical completo emoji cañón confeti emoji bendiciones
175,@jorgecontrerasmaidana6682,2024-02-07T15:08:33Z,1,🎶🎶🔨🔥🙏❤️‍🩹,emoji notas musicales emoji emoji notas musicales emoji emoji martillo emoji emoji fuego emoji emoji manos oración emoji emoji tirita emoji
176,@johannacarolinaruiz5233,2024-02-07T15:08:13Z,1,Hermoso les quedó ❤,hermoso quedó
177,@paolafleitas8727,2024-02-07T15:06:37Z,3,Increíble que trío Dios sigue Bendiciendo sus vidas un placer escucharlos que emoción graciassssssss.❤,increíble trío dios sigue bendiciendo vidas placer escucharlos emoción graciasss
178,@andreainsfran7754,2024-02-07T15:05:37Z,1,Que hermoso me llena el alma con esta alabanza mil bendiciones 🙏👏👏👏👏❤️🇦🇷,hermoso llena alma alabanza mil bendiciones emoji manos oración emoji emoji manos aplaudiendo emoji emoji manos aplaudiendo emoji emoji manos aplaudiendo emoji emoji bandera argentina emoji
179,@nicolcamilaramirez9980,2024-02-07T15:05:24Z,1,🫢😊,emoji cara feliz ojos sonrientes emoji
180,@charlescastillo3161,2024-02-07T15:04:55Z,2,Que bendición el tener estos grandes exponentes juntos🙌🏽,bendición tener grandes exponentes juntos emoji manos levantadas celebrando tono piel medio emoji
181,@benjasax1371,2024-02-07T15:03:50Z,1,🤩🤩,emoji cara sonriendo estrellas emoji emoji cara sonriendo estrellas emoji
182,@claraigarza1481,2024-02-07T15:03:47Z,2,Gloria Dios aleluyaaaa,gloria dios aleluyaaa
183,@antoniopalacios3386,2024-02-07T15:03:42Z,1,3:15,
184,@mariadiaz2614,2024-02-07T15:03:33Z,1,Hermosa ♥️🇨🇦🇨🇦🇨🇦🇨🇦,hermosa emoji corazón rojo emoji emoji bandera canadá emoji emoji bandera canadá emoji emoji bandera canadá emoji emoji bandera canadá emoji
185,@cristhiannieto8718,2024-02-07T15:03:20Z,1,Amén 🔥💯🙌🏻,amén emoji fuego emoji emoji cien puntos emoji emoji manos levantadas celebrando tono piel claro emoji
186,@stevenpalacios8519,2024-02-07T15:02:17Z,2,Wiii el primero justo al reproducirse,wiii primero justo reproducirse
187,@shelomitcastillo1910,2024-02-07T15:02:06Z,1,Que emoción 😊,emoción emoji cara feliz ojos sonrientes emoji
188,@jersontellez,2024-02-07T15:01:50Z,1,Esperando!!,esperando
189,@sandramilenalagunabarragan2372,2024-02-07T14:36:30Z,1,Hil❤❤,hil
190,@milaptopsv,2024-02-07T14:35:32Z,2,En espera❤❤❤❤❤ bendiciones,espera bendiciones
